# apt_installed
# generated_at=2026-02-20T17:34:31-03:00
# shell=dpkg-query -W -f='${Package}\t${Version}\n' | LC_ALL=C sort

7zip	23.01+dfsg-11
libdotconf0	1.3-0.3fakesync1build3
libdouble-conversion3	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.5
libdrm-amdgpu1	2.4.125-1ubuntu0.1~24.04.1
libdrm-common	2.4.125-1ubuntu0.1~24.04.1
libdrm-intel1	2.4.125-1ubuntu0.1~24.04.1
libdrm-nouveau2	2.4.125-1ubuntu0.1~24.04.1
libdrm-radeon1	2.4.125-1ubuntu0.1~24.04.1
libdrm2	2.4.125-1ubuntu0.1~24.04.1
libduktape207	2.7.0+tests-0ubuntu3
libdv4t64	1.0.0-17.1build1
libdvbpsi10	1.3.3-1build1
libdvdnav4	6.1.1-3build1
libdvdread8t64	6.1.3-1.1build1
libdw1t64	0.190-1.1ubuntu0.1
libe-book-0.1-1	0.1.3-2build6
libeatmydata1	131-1ubuntu1
libebackend-1.2-11t64	3.52.3-0ubuntu1.1
libebml5	1.4.5-1
libebook-1.2-21t64	3.52.3-0ubuntu1.1
libebook-contacts-1.2-4t64	3.52.3-0ubuntu1.1
libebur128-1	1.2.6-1build1
libecal-2.0-3	3.52.3-0ubuntu1.1
libedata-book-1.2-27t64	3.52.3-0ubuntu1.1
libedata-cal-2.0-2t64	3.52.3-0ubuntu1.1
libedataserver-1.2-27t64	3.52.3-0ubuntu1.1
libedataserverui-1.2-4t64	3.52.3-0ubuntu1.1
libedit2	3.1-20230828-1build1
libeditorconfig0	0.12.7-0.1
libefiboot1t64	38-3.1build1
libefivar1t64	38-3.1build1
libegl-mesa0	25.2.8-0ubuntu0.24.04.1
libegl1	1.7.0-1build1
libei1	1.2.1-1
libeis1	1.2.1-1
libel-api-java	3.0.0-3
libelf1t64	0.190-1.1ubuntu0.1
libenchant-2-2	2.3.3-2build2
libencode-locale-perl	1.05-3
libeot0	0.01-5build3
libepoxy0	1.5.10-1build1
libepubgen-0.1-1	0.1.1-1ubuntu6
liberror-perl	0.17029-2
libespeak-ng1	1.51+dfsg-12build1
libestr0	0.1.11-1build1
libetonyek-0.1-1	0.1.10-5build1
libevdev2	1.13.1+dfsg-1build1
libevdocument3-4t64	46.3.1-0ubuntu1
libevent-core-2.1-7t64	2.1.12-stable-9ubuntu2
libevview3-3t64	46.3.1-0ubuntu1
libexempi8	2.6.5-1build1
libexif12	0.6.24-1build2
libexiv2-27	0.27.6-1build1
libexpat1	2.6.1-2ubuntu0.4
libexpat1-dev	2.6.1-2ubuntu0.4
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libextutils-depends-perl	0.8001-2
libfaad2	2.11.1-1build1
libfakeroot	1.33-1
libfastjson4	1.2304.0-1build1
libfbclient2	3.0.11.33703.ds4-2ubuntu2
libfdisk1	2.39.3-9ubuntu6.4
libffi8	3.4.6-1build1
libfftw3-double3	3.3.10-1ubuntu3
libfftw3-single3	3.3.10-1ubuntu3
libfido2-1	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libflac12t64	1.4.3+ds-2.1ubuntu2
libflashrom1	1.3.0-2.1ubuntu2
libflite1	2.2-6build3
libfluidsynth3	2.3.4-1build3
libfmt9	9.1.0+ds1-2
libfont-afm-perl	1.20-4
libfontconfig1	2.15.0-1.1ubuntu2
libfontenc1	1:1.1.8-1build1
libfprint-2-2	1:1.94.7+tod1-0ubuntu5~24.04.4
libfprint-2-tod1	1:1.94.7+tod1-0ubuntu5~24.04.4
libfreeaptx0	0.1.1-2build1
libfreehand-0.1-1	0.1.2-3build3
libfreerdp-server3-3	3.5.1+dfsg1-0ubuntu1.2
libfreerdp3-3	3.5.1+dfsg1-0ubuntu1.2
libfreetype6	2.13.2+dfsg-1build3
libfribidi0	1.0.13-3build1
libftdi1-2	1.5-6build5
libfuse2t64	2.9.9-8.1build1
libfuse3-3	3.14.0-5build1
libfwupd2	1.9.33-0ubuntu1~24.04.1ubuntu1
libgail-common	2.24.33-4ubuntu1.1
libgail18t64	2.24.33-4ubuntu1.1
libgamemode0	1.8.1-2build1
libgamemodeauto0	1.8.1-2build1
libgbm1	25.2.8-0ubuntu0.24.04.1
libgc1	1:8.2.6-1build1
libgcc-13-dev	13.3.0-6ubuntu2~24.04.1
libgcc-s1	14.2.0-4ubuntu2~24.04
libgck-1-0	3.41.2-1build3
libgck-2-2	4.2.0-5
libgcr-4-4	4.2.0-5
libgcr-base-3-1	3.41.2-1build3
libgcr-ui-3-1	3.41.2-1build3
libgcrypt20	1.10.3-2build1
libgd3	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22	0.18.1-6build2
libgdbm-compat4t64	1.23-5.1build1
libgdbm6t64	1.23-5.1build1
libgdk-pixbuf-2.0-0	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.2
libgdm1	46.2-1ubuntu1~24.04.6
libgee-0.8-2	0.20.6-1build2
libgeoclue-2-0	2.7.0-3ubuntu7
libgeocode-glib-2-0	3.26.3-6build3
libgexiv2-2	0.14.2-2build3
libgfortran5	14.2.0-4ubuntu2~24.04
libgif7	5.2.2-1ubuntu1
libgirepository-1.0-1	1.80.1-1
libgjs0g	1.80.2-1build2
libgl1	1.7.0-1build1
libgl1-mesa-dri	25.2.8-0ubuntu0.24.04.1
libgles2	1.7.0-1build1
libglib-object-introspection-perl	0.051-1build3
libglib-perl	3:1.329.3-3build3
libglib2.0-0t64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglibmm-2.4-1t64	2.66.7-1build1
libglibmm-2.68-1t64	2.78.1-2.2build2
libglu1-mesa	9.0.2-1.1build1
libglvnd0	1.7.0-1build1
libglx-mesa0	25.2.8-0ubuntu0.24.04.1
libglx0	1.7.0-1build1
libgme0	0.6.3-7build1
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgnome-autoar-0-0	0.4.4-2build4
libgnome-bg-4-2t64	44.0-5build2
libgnome-bluetooth-3.0-13	46.0-1ubuntu1
libgnome-bluetooth-ui-3.0-13	46.0-1ubuntu1
libgnome-desktop-3-20t64	44.0-5build2
libgnome-desktop-4-2t64	44.0-5build2
libgnome-menu-3-0	3.36.0-1.1ubuntu3
libgnome-rr-4-2t64	44.0-5build2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8	3.28.1-1build3
libgnutls30t64	3.8.3-1.1ubuntu3.5
libgoa-1.0-0b	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgoa-backend-1.0-2	3.50.4-0ubuntu2
libgomp1	14.2.0-4ubuntu2~24.04
libgpg-error-l10n	1.47-3build2.1
libgpg-error0	1.47-3build2.1
libgpgme11t64	1.18.0-4.1ubuntu4
libgpgmepp6t64	1.18.0-4.1ubuntu4
libgphoto2-6t64	2.5.31-2.1build2
libgphoto2-l10n	2.5.31-2.1build2
libgphoto2-port12t64	2.5.31-2.1build2
libgpm2	1.20.7-11
libgprofng0	2.42-4ubuntu2.8
libgraphene-1.0-0	1.10.8-3build2
libgraphite2-3	1.3.14-2build1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsf-1-114	1.14.51-2ubuntu0.1
libgsf-1-common	1.14.51-2ubuntu0.1
libgsl27	2.7.1+dfsg-6ubuntu2
libgslcblas0	2.7.1+dfsg-6ubuntu2
libgsm1	1.0.22-1build1
libgsound0t64	1.0.3-3.2build2
libgspell-1-2	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2	1.20.1-6ubuntu2.6
libgssdp-1.6-0	1.6.3-1build3
libgstreamer-gl1.0-0	1.24.2-1ubuntu0.3
libgstreamer-plugins-bad1.0-0	1.24.2-1ubuntu4
libgstreamer-plugins-base1.0-0	1.24.2-1ubuntu0.3
libgstreamer-plugins-good1.0-0	1.24.2-1ubuntu1.2
libgstreamer1.0-0	1.24.2-1ubuntu0.1
libgtk-3-0t64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1	4.14.5+ds-0ubuntu0.7
libgtk-4-bin	4.14.5+ds-0ubuntu0.7
libgtk-4-common	4.14.5+ds-0ubuntu0.7
libgtk-4-media-gstreamer	4.14.5+ds-0ubuntu0.7
libgtk2.0-0t64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtk3-perl	0.038-3
libgtkmm-3.0-1t64	3.24.9-1
libgtkmm-4.0-0	4.10.0-4build3
libgtksourceview-5-0	5.12.0-1build1
libgtksourceview-5-common	5.12.0-1build1
libgtop-2.0-11	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgudev-1.0-0	1:238-5ubuntu1
libgupnp-1.6-0	1.6.6-1build3
libgupnp-av-1.0-3	0.14.1-2build2
libgupnp-dlna-2.0-4	0.12.0-4build2
libgupnp-igd-1.6-0	1.6.0-3build3
libgusb2	0.4.8-1build2
libgweather-4-0t64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libgxps2t64	0.3.2-4build3
libhandy-1-0	1.8.3-1build2
libharfbuzz-gobject0	8.3.0-2build2
libharfbuzz-icu0	8.3.0-2build2
libharfbuzz0b	8.3.0-2build2
libheif-plugin-aomdec	1.17.6-1ubuntu4.2
libheif-plugin-aomenc	1.17.6-1ubuntu4.2
libheif-plugin-libde265	1.17.6-1ubuntu4.2
libheif1	1.17.6-1ubuntu4.2
libhogweed6t64	3.9.1-2.2build1.1
libhpmud0	3.23.12+dfsg0-0ubuntu5
libhsqldb1.8.0-java	1.8.0.10+dfsg-12
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0	1.7.2+really1.7.2-10build3
libhwasan0	14.2.0-4ubuntu2~24.04
libhwloc-plugins	2.10.0-1build1
libhwloc15	2.10.0-1build1
libhwy1t64	1.0.7-8.1build1
libhyphen0	2.8.8-7build3
libib-util	3.0.11.33703.ds4-2ubuntu2
libibus-1.0-5	1.5.29-2
libibverbs1	50.0-2ubuntu0.2
libical3t64	3.0.17-1.1build3
libice6	2:1.0.10-1build3
libicu74	74.2-1ubuntu3.1
libid3tag0	0.15.1b-14build1
libidn12	1.42-1build1
libidn2-0	2.3.7-2build1.1
libiec61883-0	1.2.0-6build1
libieee1284-3t64	0.2.11-14.1build1
libigdgmm12	22.3.17+ds1-1
libijs-0.35	0.35-15.1build1
libimagequant0	2.18.0-1build1
libimath-3-1-29t64	3.1.9-3.1ubuntu2
libimlib2t64	1.12.1-1.1build2
libimobiledevice6	1.3.0-8.1build3
libini-config5t64	0.6.2-2.1build1
libinih1	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.2
libinput10	1.25.0-1ubuntu3.2
libinstpatch-1.0-2	1.1.6-1build2
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libip4tc2	1.8.10-3ubuntu2
libip6tc2	1.8.10-3ubuntu2
libipa-hbac0t64	2.9.4-1.1ubuntu6.3
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libisl23	0.26-3build1.1
libitm1	14.2.0-4ubuntu2~24.04
libiw30t64	30~pre9-16.1ubuntu2
libixml11t64	1:1.14.18-1.1ubuntu2
libjack-jackd2-0	1.9.21~dfsg-3ubuntu3
libjack-jackd2-dev	1.9.21~dfsg-3ubuntu3
libjansson4	2.14-2build2
libjavascriptcoregtk-4.1-0	2.50.4-0ubuntu0.24.04.1
libjavascriptcoregtk-6.0-1	2.50.4-0ubuntu0.24.04.1
libjbig0	2.1-6.1ubuntu2
libjbig2dec0	0.20-1build3
libjcat1	0.2.0-2build3
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg8	8c-2ubuntu11
libjq1	1.7.1-3ubuntu0.24.04.1
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5	0.17-1build1
libjson-glib-1.0-0	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsp-api-java	2.3.4-3
libjxl0.7	0.7.0-10.2ubuntu6.1
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3	1.20.1-6ubuntu2.6
libkate1	0.4.1-11build2
libkeyutils1	1.6.3-3build1
libklibc	2.0.13-4ubuntu0.2
libkmod2	31+20240202-2ubuntu7.1
libkpathsea6	2023.20230311.66589-9build3
libkrb5-3	1.20.1-6ubuntu2.6
libkrb5support0	1.20.1-6ubuntu2.6
libksba8	1.6.6-1build1
liblangtag-common	0.6.7-1build2
liblangtag1	0.6.7-1build2
liblapack3	3.12.0-3build1.1
liblc3-1	1.0.4-3build1
liblcms2-2	2.14-2build1
liblcms2-utils	2.14-2build1
libldacbt-abr2	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.4
liblept5	1.82.0-3build4
liblerc4	4.0.0+ds-4ubuntu2
liblibreoffice-java	4:24.2.7-0ubuntu0.24.04.4
liblilv-0-0	0.24.22-1build1
liblirc-client0t64	0.10.2-0.8build1
libllvm18	1:18.1.3-1ubuntu1
libllvm20	1:20.1.2-0ubuntu1~24.04.2
liblmdb0	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblouis-data	3.29.0-1build1
liblouis20	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64	2.12.0-3.1build1
liblqr-1-0	0.4.2-2.1build2
liblsan0	14.2.0-4ubuntu2~24.04
libltdl7	2.4.7-7build1
liblua5.2-0	5.2.4-3build2
liblua5.4-0	5.4.6-3build2
libluajit-5.1-2	2.1.0+git20231223.c525bcb+dfsg-1
libluajit-5.1-common	2.1.0+git20231223.c525bcb+dfsg-1
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1	1.9.4-1build1.1
liblzma5	5.6.1+really5.4.5-1ubuntu0.2
liblzo2-2	2.10-2build4
libm17n-0	1.8.4-1build2
libmad0	0.15.1b-10.2ubuntu1
libmagic-mgc	1:5.45-3build1
libmagic1t64	1:5.45-3build1
libmagickcore-6.q16-7-extra	8:6.9.12.98+dfsg1-5.2build2
libmagickcore-6.q16-7t64	8:6.9.12.98+dfsg1-5.2build2
libmagickwand-6.q16-7t64	8:6.9.12.98+dfsg1-5.2build2
libmailtools-perl	2.21-2
libmalcontent-0-0	0.11.1-1ubuntu1.3
libmanette-0.2-0	0.2.7-1build2
libmarisa0	0.2.6-14ubuntu4
libmatroska7	1.7.1-1build1
libmaxminddb0	1.9.1-1build1
libmbedcrypto7t64	2.28.8-1
libmbedtls14t64	2.28.8-1
libmbedx509-1t64	2.28.8-1
libmbim-glib4	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd0	1.1.0-2build1.1
libmd4c0	0.4.8-1build1
libmediaart-2.0-0	1.9.6-1build2
libmhash2	0.9.9.9-9build3
libmm-glib0	1.23.4-0ubuntu2
libmms0	0.6.4-3build1
libmng2	2.0.3+dfsg-4build1
libmnl0	1.0.5-2build1
libmodplug1	1:0.8.9.0-3build1
libmount1	2.39.3-9ubuntu6.4
libmozjs-115-0t64	115.10.0-1
libmp3lame0	3.100-6build1
libmpc3	1.3.1-1build1.1
libmpcdec6	2:0.1~r495-2build1
libmpeg2-4	0.5.1-9build1
libmpfr6	4.2.1-1build1.1
libmpg123-0t64	1.32.5-1ubuntu1.1
libmsgraph-0-1	0.2.1-0ubuntu3
libmspack0t64	0.11-1.1build1
libmspub-0.1-1	0.1.4-3build7
libmtdev1t64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1build1
libmtp-runtime	1.1.21-3.1build1
libmtp9t64	1.1.21-3.1build1
libmutter-14-0	46.2-1ubuntu0.24.04.14
libmwaw-0.3-3	0.3.22-1build1
libmysofa1	1.3.2+dfsg-2ubuntu2
libmysqlclient21	8.0.45-0ubuntu0.24.04.1
libmythes-1.2-0	2:1.2.5-1build1
libnautilus-extension4	1:46.4-0ubuntu0.2
libncurses6	6.4+20240113-1ubuntu2
libncursesw6	6.4+20240113-1ubuntu2
libndp0	1.8-1fakesync1ubuntu0.24.04.1
libneon27t64-gnutls	0.33.0-1.1build3
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.94-1build4
libnetfilter-conntrack3	1.0.9-6build1
libnetpbm11t64	2:11.05.02-1.1build1
libnetplan1	1.1.2-8ubuntu1~24.04.1
libnettle8t64	3.9.1-2.2build1.1
libnewt0.52	0.52.24-2ubuntu2
libnfnetlink0	1.0.2-2build1
libnfs14	5.0.2-1build1
libnfsidmap1	1:2.6.4-3ubuntu5.1
libnftables1	1.0.9-1build1
libnftnl11	1.2.6-2build1
libnghttp2-14	1.59.0-1ubuntu0.2
libnice10	0.1.21-2build3
libnl-3-200	3.7.0-0.3build1.1
libnl-genl-3-200	3.7.0-0.3build1.1
libnl-route-3-200	3.7.0-0.3build1.1
libnm0	1.46.0-1ubuntu2.5
libnma-common	1.10.6-3build2
libnma-gtk4-0	1.10.6-3build2
libnma0	1.10.6-3build2
libnorm1t64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4	0.8.3-1build2
libnpth0t64	1.6-3.1build1
libnspr4	2:4.35-1.1build1
libnss-mdns	0.15.1-4build1
libnss-sss	2.9.4-1.1ubuntu6.3
libnss-systemd	255.4-1ubuntu8.12
libnss3	2:3.98-1build1
libntfs-3g89t64	1:2022.10.3-1.2ubuntu3
libnuma1	2.0.18-1ubuntu0.24.04.1
libnvidia-cfg1-570	570.211.01-0ubuntu0.24.04.1
libnvidia-common-570	570.211.01-0ubuntu0.24.04.1
libnvidia-compute-570	570.211.01-0ubuntu0.24.04.1
libnvidia-compute-575	575.64.03-0ubuntu0.24.04.1
libnvidia-container-tools	1.18.2-1
libnvidia-container1	1.18.2-1
libnvidia-decode-570	570.211.01-0ubuntu0.24.04.1
libnvidia-egl-wayland1	1:1.1.13-1ubuntu0.1
libnvidia-encode-570	570.211.01-0ubuntu0.24.04.1
libnvidia-extra-570	570.211.01-0ubuntu0.24.04.1
libnvidia-fbc1-570	570.211.01-0ubuntu0.24.04.1
libnvidia-gl-570	570.211.01-0ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
libobs0t64	30.0.2+dfsg-3build1
libodfgen-0.1-1	0.1.8-2build3
libogg0	1.3.5-3build1
libonig5	6.9.9-1build1
libopenal-data	1:1.23.1-4build1
libopenal1	1:1.23.1-4build1
libopencc-data	1.1.7+ds1-1ubuntu0.1
libopencc1.1	1.1.7+ds1-1ubuntu0.1
libopenexr-3-1-30	3.1.5-5.1build3
libopengl0	1.7.0-1build1
libopenjp2-7	2.5.0-2ubuntu0.4
libopenmpt-modplug1	0.8.9.0-openmpt1-2build2
libopenmpt0t64	0.7.3-1.1build3
libopus0	1.4-1build1
libopusfile0	0.12-4build3
liborc-0.4-0t64	1:0.4.38-1ubuntu0.1
liborcus-0.18-0	0.19.2-3build3
liborcus-parser-0.18-0	0.19.2-3build3
libotf1	0.9.16-4build2
libp11-kit0	0.25.3-4ubuntu2.1
libpackagekit-glib2-18	1.2.8-2ubuntu1.4
libpagemaker-0.0-0	0.0.4-1build4
libpam-cap	1:2.66-5ubuntu2.2
libpam-fprintd	1.94.3-1
libpam-gnome-keyring	46.1-2build1
libpam-modules	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-pwquality	1.4.5-3build1
libpam-runtime	1.5.3-5ubuntu5.5
libpam-sss	2.9.4-1.1ubuntu6.3
libpam-systemd	255.4-1ubuntu8.12
libpam0g	1.5.3-5ubuntu5.5
libpango-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpangomm-1.4-1v5	2.46.4-1build3
libpangomm-2.48-1t64	2.52.0-1build1
libpangoxft-1.0-0	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1	1.1.29build1
libparted2t64	3.6-4build1
libpath-utils1t64	0.6.2-2.1build1
libpcap0.8t64	1.10.4-4.1ubuntu3
libpcaudio0	1.2-2build3
libpci3	1:3.10.0-2build1
libpciaccess0	0.17-3ubuntu0.24.04.2
libpcre2-16-0	10.42-4ubuntu2.1
libpcre2-32-0	10.42-4ubuntu2.1
libpcre2-8-0	10.42-4ubuntu2.1
libpcsclite1	2.0.3-1build1
libpeas-1.0-0	1.36.0-3build4
libpeas-common	1.36.0-3build4
libperl5.38t64	5.38.2-3.2ubuntu0.2
libpgm-5.3-0t64	5.3.128~dfsg-2.1build1
libphonenumber8	8.12.57+ds-4.2build3
libpinyin-data	2.8.1-1build3
libpinyin15	2.8.1-1build3
libpipeline1	1.5.7-2
libpipewire-0.3-0t64	1.0.5-1ubuntu3.2
libpipewire-0.3-common	1.0.5-1ubuntu3.2
libpipewire-0.3-modules	1.0.5-1ubuntu3.2
libpixman-1-0	0.42.2-1build1
libpkcs11-helper1t64	1.29.0-2.1build2
libpkgconf3	1.8.1-2build1
libplacebo338	6.338.2-2build1
libplayerctl2	2.4.1-2build2
libplist-2.0-4	2.3.0-1~exp2build2
libplymouth5	24.004.60-1ubuntu7.1
libpng16-16t64	1.6.43-5ubuntu0.5
libpocketsphinx3	0.8.0+real5prealpha+1-15ubuntu5
libpolkit-agent-1-0	124-2ubuntu1.24.04.2
libpolkit-gobject-1-0	124-2ubuntu1.24.04.2
libpoppler-cpp0t64	24.02.0-1ubuntu9.8
libpoppler-glib8t64	24.02.0-1ubuntu9.8
libpoppler134	24.02.0-1ubuntu9.8
libpopt0	1.19+dfsg-1build1
libportal-gtk4-1	0.7.1-5build5
libportal1	0.7.1-5build5
libportaudio2	19.6.0-1.2build3
libportaudiocpp0	19.6.0-1.2build3
libpostproc57	7:6.1.1-3ubuntu5
libppd2	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libpq5	16.11-0ubuntu0.24.04.1
libproc2-0	2:4.0.4-4ubuntu3.2
libprotobuf-c1	1.4.1-1ubuntu4
libprotobuf-lite32t64	3.21.12-8.2ubuntu0.2
libprotobuf32t64	3.21.12-8.2ubuntu0.2
libproxy-tools	0.5.4-4build1
libproxy1-plugin-gsettings	0.5.4-4build1
libproxy1-plugin-networkmanager	0.5.4-4build1
libproxy1v5	0.5.4-4build1
libpsl5t64	0.21.2-1.1build1
libpulse-mainloop-glib0	1:16.1+dfsg1-2ubuntu10.1
libpulse0	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1	1.4.5-3build1
libpython3-dev	3.12.3-0ubuntu2.1
libpython3-stdlib	3.12.3-0ubuntu2.1
libpython3.10	3.10.19-1+noble1
libpython3.10-dev	3.10.19-1+noble1
libpython3.10-minimal	3.10.19-1+noble1
libpython3.10-stdlib	3.10.19-1+noble1
libpython3.12-dev	3.12.3-1ubuntu0.11
libpython3.12-minimal	3.12.3-1ubuntu0.11
libpython3.12-stdlib	3.12.3-1ubuntu0.11
libpython3.12t64	3.12.3-1ubuntu0.11
libqmi-glib5	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqpdf29t64	11.9.0-1.1ubuntu0.1
libqrcodegencpp1	1.8.0-1.2build1
libqrtr-glib0	1.2.2-1ubuntu4
libqt5core5t64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64	5.15.13+dfsg-1ubuntu1
libqt5network5t64	5.15.13+dfsg-1ubuntu1
libqt5qml5	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5	5.15.13+dfsg-1ubuntu0.1
libqt5quick5	5.15.13+dfsg-1ubuntu0.1
libqt5svg5	5.15.13-1
libqt5waylandclient5	5.15.13-1
libqt5waylandcompositor5	5.15.13-1
libqt5widgets5t64	5.15.13+dfsg-1ubuntu1
libqt5x11extras5	5.15.13-1
libqt6core6t64	6.4.2+dfsg-21.1build5
libqt6dbus6t64	6.4.2+dfsg-21.1build5
libqt6gui6t64	6.4.2+dfsg-21.1build5
libqt6network6t64	6.4.2+dfsg-21.1build5
libqt6opengl6t64	6.4.2+dfsg-21.1build5
libqt6openglwidgets6t64	6.4.2+dfsg-21.1build5
libqt6qml6	6.4.2+dfsg-4build3
libqt6qmlmodels6	6.4.2+dfsg-4build3
libqt6quick6	6.4.2+dfsg-4build3
libqt6svg6	6.4.2-4ubuntu3
libqt6waylandclient6	6.4.2-5build3
libqt6waylandcompositor6	6.4.2-5build3
libqt6waylandeglclienthwintegration6	6.4.2-5build3
libqt6waylandeglcompositorhwintegration6	6.4.2-5build3
libqt6widgets6t64	6.4.2+dfsg-21.1build5
libqt6wlshellintegration6	6.4.2-5build3
libqt6xml6t64	6.4.2+dfsg-21.1build5
libquadmath0	14.2.0-4ubuntu2~24.04
librabbitmq4	0.11.0-1build2
libraptor2-0	2.0.16-3ubuntu0.1
libraqm0	0.10.1-1build1
librasqal3t64	0.9.33-2.1build1
librav1e0	0.7.1-2
libraw1394-11	2.1.2-2build3
libraw23t64	0.21.2-2.1ubuntu0.24.04.1
librdf0t64	1.0.17-3.1ubuntu3
libreadline8t64	8.2-4build1
libref-array1t64	0.6.2-2.1build1
libreoffice	4:24.2.7-0ubuntu0.24.04.4
libreoffice-base	4:24.2.7-0ubuntu0.24.04.4
libreoffice-base-core	4:24.2.7-0ubuntu0.24.04.4
libreoffice-base-drivers	4:24.2.7-0ubuntu0.24.04.4
libreoffice-calc	4:24.2.7-0ubuntu0.24.04.4
libreoffice-common	4:24.2.7-0ubuntu0.24.04.4
libreoffice-core	4:24.2.7-0ubuntu0.24.04.4
libreoffice-draw	4:24.2.7-0ubuntu0.24.04.4
libreoffice-gnome	4:24.2.7-0ubuntu0.24.04.4
libreoffice-gtk3	4:24.2.7-0ubuntu0.24.04.4
libreoffice-help-common	4:24.2.7-0ubuntu0.24.04.4
libreoffice-help-es	4:24.2.7-0ubuntu0.24.04.4
libreoffice-impress	4:24.2.7-0ubuntu0.24.04.4
libreoffice-java-common	4:24.2.7-0ubuntu0.24.04.4
libreoffice-l10n-es	4:24.2.7-0ubuntu0.24.04.4
libreoffice-math	4:24.2.7-0ubuntu0.24.04.4
