# apt_installed
# generated_at=2026-02-20T17:34:31-03:00
# shell=dpkg-query -W -f='${Package}\t${Version}\n' | LC_ALL=C sort

7zip	23.01+dfsg-11
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base	14.2.0-4ubuntu2~24.04
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdb	15.0.50.20240403-0ubuntu1
gdisk	1.0.10-1build1
gdm3	46.2-1ubuntu1~24.04.6
geoclue-2.0	2.7.0-3ubuntu7
geocode-glib-common	3.26.3-6build3
gettext-base	0.21-14ubuntu2
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-accountsservice-1.0	23.13.9-2ubuntu6
gir1.2-adw-1	1.5.0-1ubuntu2
gir1.2-atk-1.0	2.52.0-1build1
gir1.2-atspi-2.0	2.52.0-1build1
gir1.2-freedesktop	1.80.1-1
gir1.2-gck-2	4.2.0-5
gir1.2-gcr-4	4.2.0-5
gir1.2-gdesktopenums-3.0	46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0	2.42.10+dfsg-3ubuntu3.2
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.6
gir1.2-geoclue-2.0	2.7.0-3ubuntu7
gir1.2-girepository-2.0	1.80.1-1
gir1.2-glib-2.0	2.80.0-6ubuntu3.8
gir1.2-gmenu-3.0	3.36.0-1.1ubuntu3
gir1.2-gnomeautoar-0.1	0.4.4-2build4
gir1.2-gnomebg-4.0	44.0-5build2
gir1.2-gnomebluetooth-3.0	46.0-1ubuntu1
gir1.2-gnomedesktop-3.0	44.0-5build2
gir1.2-gnomedesktop-4.0	44.0-5build2
gir1.2-graphene-1.0	1.10.8-3build2
gir1.2-gstreamer-1.0	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0	3.24.41-4ubuntu1.3
gir1.2-gtk-4.0	4.14.5+ds-0ubuntu0.7
gir1.2-gweather-4.0	4.4.2-1build1
gir1.2-handy-1	1.8.3-1build2
gir1.2-harfbuzz-0.0	8.3.0-2build2
gir1.2-ibus-1.0	1.5.29-2
gir1.2-javascriptcoregtk-4.1	2.50.4-0ubuntu0.24.04.1
gir1.2-javascriptcoregtk-6.0	2.50.4-0ubuntu0.24.04.1
gir1.2-mutter-14	46.2-1ubuntu0.24.04.14
gir1.2-nm-1.0	1.46.0-1ubuntu2.5
gir1.2-nma4-1.0	1.10.6-3build2
gir1.2-notify-0.7	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.4
gir1.2-pango-1.0	1.52.1+ds-1build1
gir1.2-peas-1.0	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.2
gir1.2-rsvg-2.0	2.58.0+dfsg-1build1
gir1.2-secret-1	0.21.4-1build3
gir1.2-snapd-2	1.64-0ubuntu5
gir1.2-soup-3.0	3.4.4-5ubuntu0.7
gir1.2-upowerglib-1.0	1.90.3-1
gir1.2-vte-2.91	0.76.0-1ubuntu0.1
gir1.2-webkit-6.0	2.50.4-0ubuntu0.24.04.1
gir1.2-webkit2-4.1	2.50.4-0ubuntu0.24.04.1
gir1.2-wnck-3.0	43.0-3build4
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gjs	1.80.2-1build2
gkbd-capplet	3.28.1-1build3
glib-networking	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-calculator	1:46.3-0ubuntu0.1
gnome-characters	46.0-1build1
gnome-clocks	46.0-1build1
gnome-control-center	1:46.7-0ubuntu0.24.04.3
gnome-control-center-data	1:46.7-0ubuntu0.24.04.3
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.3
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-font-viewer	46.0-1build1
gnome-initial-setup	46.3-1ubuntu3~24.04.2
gnome-keyring	46.1-2build1
gnome-keyring-pkcs11	46.1-2build1
gnome-logs	45.0-1build1
gnome-menus	3.36.0-1.1ubuntu3
gnome-online-accounts	3.50.4-0ubuntu2
gnome-power-manager	43.0-2build2
gnome-remote-desktop	46.3-0ubuntu1.2
gnome-screenshot	41.0-2build2
gnome-session-bin	46.0-1ubuntu4
gnome-session-canberra	0.30-10ubuntu10
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon	46.0-1ubuntu1.24.04.1
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-shell	46.0-0ubuntu6~24.04.13
gnome-shell-common	46.0-0ubuntu6~24.04.13
gnome-shell-extension-appindicator	58-1ubuntu24.04.1
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5
gnome-shell-extension-ubuntu-dock	90ubuntu3
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1
gnome-startup-applications	46.0-1ubuntu4
gnome-system-monitor	46.0-1build1
gnome-terminal	3.52.0-1ubuntu2
gnome-terminal-data	3.52.0-1ubuntu2
gnome-text-editor	46.3-0ubuntu2
gnome-themes-extra	3.28-2ubuntu5
gnome-themes-extra-data	3.28-2ubuntu5
gnome-user-docs	46.0-1ubuntu1
gnome-user-docs-es	46.0-1ubuntu1
gnome-video-effects	0.6.0-1ubuntu1
gnupg	2.4.4-2ubuntu17.4
gnupg-l10n	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
google-chrome-stable	145.0.7632.75-1
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
grim	1.4.0+ds-2build2
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-alsa	1.24.2-1ubuntu0.3
gstreamer1.0-clutter-3.0	3.0.27-4build1
gstreamer1.0-gl	1.24.2-1ubuntu0.3
gstreamer1.0-gtk3	1.24.2-1ubuntu1.2
gstreamer1.0-libav	1.24.1-1build1
gstreamer1.0-packagekit	1.2.8-2ubuntu1.4
gstreamer1.0-pipewire	1.0.5-1ubuntu3.2
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-good	1.24.2-1ubuntu1.2
gstreamer1.0-plugins-ugly	1.24.1-1build1
gstreamer1.0-tools	1.24.2-1ubuntu0.1
gstreamer1.0-vaapi	1.24.2-1
gstreamer1.0-x	1.24.2-1ubuntu0.3
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine	0.98.2-4
gtk2-engines-pixbuf	2.24.33-4ubuntu1.1
gvfs	1.54.4-0ubuntu1~24.04.1
gvfs-backends	1.54.4-0ubuntu1~24.04.1
gvfs-common	1.54.4-0ubuntu1~24.04.1
gvfs-daemons	1.54.4-0ubuntu1~24.04.1
gvfs-fuse	1.54.4-0ubuntu1~24.04.1
gvfs-libs	1.54.4-0ubuntu1~24.04.1
gzip	1.12-1ubuntu3.1
hdparm	9.65+ds-1build1
heif-gdk-pixbuf	1.17.6-1ubuntu4.2
heif-thumbnailer	1.17.6-1ubuntu4.2
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
hplip	3.23.12+dfsg0-0ubuntu5
